username,date,followers,growth,follows,unfollows,posts,stories,reels,ads_posted,post_time,posted_in_optimal_window,hashtags_used,avg_hashtag_count,reach,profile_visits,post_likes,reel_plays,reel_engagement,story_reach,story_engagement,comments,saves,shares,engagement_rate,ad_engagement,share_posts,share_reels,share_stories,post_consistency_variance_7d,saturation_flag,comp_posts,comp_reels,comp_stories,minutes_spent,roi_follows_per_hour,month,quarter,went_viral
creator_alpha,01-01-2023,120048,48,64,16,1,3,2,0,12:30,0,19,19.0,79208,4885,322,6083,774,1493,199,93,77,57,0.019215230784769215,0,0.16666666666666666,0.3333333333333333,0.5,0.0,0,1,0,1,309,12.427184466019417,1,1,0
creator_alpha,02-01-2023,120239,191,229,38,1,3,2,1,12:30,0,10,10.0,49280,3547,344,6504,827,1596,212,169,46,47,0.033380681818181816,291,0.16666666666666666,0.3333333333333333,0.5,0.0,0,3,1,3,309,44.46601941747573,1,1,0
creator_alpha,03-01-2023,120287,48,63,15,1,2,2,0,12:30,0,7,7.0,79682,2325,284,5366,683,878,117,128,86,37,0.01675409753771241,0,0.2,0.4,0.4,0.0,0,1,1,0,301,12.558139534883722,1,1,0
creator_alpha,04-01-2023,120296,9,34,25,0,5,1,0,08:00,1,0,0.0,48535,2599,0,3102,394,2538,338,0,0,0,0.015081899660039148,0,0.0,0.16666666666666666,0.8333333333333334,0.1875,0,1,2,4,160,12.75,1,1,0
creator_alpha,05-01-2023,120333,37,52,15,1,3,1,0,08:00,1,20,20.0,41962,2271,337,3185,405,1563,208,135,65,65,0.02895476860016205,0,0.2,0.2,0.6,0.16,0,0,1,2,189,16.50793650793651,1,1,0
creator_alpha,06-01-2023,120324,-9,16,25,0,4,0,0,12:30,0,0,0.0,80117,6046,0,0,0,2019,269,0,0,0,0.0033575895253192206,0,0.0,0.0,1.0,0.22222222222222224,0,1,1,2,32,30.0,1,1,0
creator_alpha,07-01-2023,120341,17,35,18,2,4,0,0,21:00,1,22,11.0,57872,2280,750,0,0,2314,308,161,81,73,0.023724771910423003,0,0.3333333333333333,0.0,0.6666666666666666,0.4081632653061224,0,0,2,2,122,17.213114754098363,1,1,0
creator_alpha,08-01-2023,120339,-2,14,16,1,0,0,0,18:30,1,9,9.0,91953,7249,363,0,0,0,0,34,72,57,0.005720313638489228,0,1.0,0.0,0.0,0.4081632653061224,0,0,1,6,45,18.666666666666668,1,1,0
creator_alpha,09-01-2023,120347,8,26,18,0,2,1,0,08:00,1,0,0.0,79227,3491,0,3212,408,1051,140,0,0,0,0.006916833907632499,0,0.0,0.3333333333333333,0.6666666666666666,0.4897959183673469,0,5,2,2,136,11.470588235294118,1,1,0
creator_alpha,10-01-2023,120383,36,55,19,3,1,1,0,21:00,1,21,7.0,96937,5242,917,2882,366,471,62,373,132,160,0.020735116622136028,0,0.6,0.2,0.2,1.1428571428571428,0,2,1,4,263,12.547528517110266,1,1,0
creator_alpha,11-01-2023,120427,44,57,13,1,5,1,0,18:30,1,10,10.0,78895,3170,318,2998,381,2453,327,146,53,73,0.01645224665694911,0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.9795918367346939,0,0,1,3,205,16.682926829268293,1,1,0
creator_alpha,12-01-2023,120448,21,33,12,2,3,0,0,08:00,1,38,19.0,69625,1961,603,0,0,1395,186,221,80,104,0.017149012567324956,0,0.4,0.0,0.6,1.0612244897959184,0,2,1,2,114,17.36842105263158,1,1,0
creator_alpha,13-01-2023,120481,33,50,17,2,3,1,0,18:30,1,14,7.0,105632,5991,633,2984,379,1465,195,166,84,55,0.014313844289609209,0,0.3333333333333333,0.16666666666666666,0.5,0.8163265306122449,0,1,1,2,234,12.820512820512821,1,1,0
creator_alpha,14-01-2023,120491,10,20,10,0,0,1,0,21:00,1,0,0.0,72784,3925,0,3556,452,0,0,0,0,0,0.006210156078258958,0,0.0,1.0,0.0,1.0612244897959184,0,1,1,3,120,10.0,1,1,0
creator_alpha,15-01-2023,120500,9,28,19,0,3,1,0,21:00,1,0,0.0,104535,5980,0,3527,448,1731,230,0,0,0,0.006485865977902138,0,0.0,0.25,0.75,1.2653061224489794,0,1,0,3,144,11.666666666666668,1,1,0
creator_alpha,16-01-2023,120567,67,79,12,2,3,2,0,21:00,1,24,12.0,97373,7676,742,7001,891,1718,229,253,199,133,0.025130169554188533,0,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.1020408163265305,0,0,1,1,354,13.389830508474576,1,1,0
creator_alpha,17-01-2023,120613,46,58,12,2,2,1,0,21:00,1,40,20.0,74487,3098,616,2906,369,951,126,77,192,114,0.020057191187724033,0,0.4,0.2,0.4,0.7755102040816327,0,2,2,3,226,15.398230088495575,1,1,0
creator_alpha,18-01-2023,120659,46,69,23,1,6,2,0,08:00,1,6,6.0,48217,3298,317,5979,761,2935,391,36,64,71,0.0340129000145177,0,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.7755102040816325,0,1,1,1,333,12.432432432432433,1,1,0
creator_alpha,19-01-2023,120661,2,26,24,0,6,0,0,21:00,1,0,0.0,49344,1080,0,0,0,3243,432,0,0,0,0.008754863813229572,0,0.0,0.0,1.0,0.8571428571428571,0,1,0,2,48,32.5,1,1,0
creator_alpha,20-01-2023,120685,24,39,15,2,3,0,0,18:30,1,20,10.0,98504,4709,588,0,0,1361,181,321,92,88,0.012892877446601152,0,0.4,0.0,0.6,0.8571428571428571,0,3,0,6,114,20.526315789473685,1,1,0
creator_alpha,21-01-2023,120707,22,42,20,0,5,1,0,18:30,1,0,0.0,36467,1109,0,2996,381,2451,326,0,0,0,0.01938739134011572,0,0.0,0.16666666666666666,0.8333333333333334,0.8571428571428571,0,2,2,2,160,15.75,1,1,0
creator_alpha,22-01-2023,120746,39,57,18,1,4,2,0,12:30,0,16,16.0,76221,4041,329,6206,789,2031,270,52,99,63,0.02101782973196363,0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.6938775510204082,0,0,0,4,317,10.788643533123029,1,1,0
creator_alpha,23-01-2023,120826,80,94,14,2,8,1,0,08:00,1,38,19.0,85961,4741,632,2981,379,3903,520,239,199,89,0.02394108956387199,0,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.6938775510204082,0,2,1,3,274,20.583941605839417,1,1,0
creator_alpha,24-01-2023,120833,7,24,17,0,2,1,0,08:00,1,0,0.0,90862,3159,0,3571,454,1168,155,0,0,0,0.006702471880434065,0,0.0,0.3333333333333333,0.6666666666666666,0.6938775510204082,0,2,0,2,136,10.588235294117647,1,1,0
creator_alpha,25-01-2023,120854,21,36,15,0,4,1,0,21:00,1,0,0.0,66249,2745,0,3405,433,2228,297,0,0,0,0.01101903424957358,0,0.0,0.2,0.8,0.7755102040816327,0,0,1,4,152,14.210526315789474,1,1,0
creator_alpha,26-01-2023,120900,46,70,24,2,5,2,0,21:00,1,28,14.0,78744,2916,741,6989,889,2859,381,148,136,85,0.030224525043177894,0,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.8571428571428571,0,3,0,3,370,11.35135135135135,1,1,0
creator_alpha,27-01-2023,120983,83,113,30,1,3,1,1,21:00,1,10,10.0,55954,3077,373,3519,447,1727,230,59,107,61,0.022822318332916324,440,0.2,0.2,0.6,0.6938775510204082,0,1,0,5,189,35.87301587301587,1,1,0
creator_alpha,28-01-2023,122732,1749,1770,21,0,2,2,0,12:30,0,0,0.0,42680,1832,0,6207,790,1015,135,0,0,0,0.021672914714151826,0,0.0,0.5,0.5,0.6938775510204082,0,0,1,4,256,414.84375,1,1,1
creator_alpha,29-01-2023,122780,48,75,27,1,4,2,0,12:30,0,16,16.0,97534,5034,331,6257,796,2047,273,148,45,34,0.01668136239670269,0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.6938775510204079,0,1,1,3,317,14.195583596214512,1,1,0
creator_alpha,30-01-2023,122863,83,125,42,0,2,0,1,08:00,1,0,0.0,43537,2527,0,0,0,1029,137,0,0,0,0.0031467487424489513,115,0.0,0.0,1.0,0.5306122448979591,0,0,1,5,16,468.75,1,1,0
creator_alpha,31-01-2023,122862,-1,20,21,0,2,1,0,08:00,1,0,0.0,64899,2666,0,3295,419,1078,143,0,0,0,0.008659609547142483,0,0.0,0.3333333333333333,0.6666666666666666,0.5306122448979591,0,1,0,2,136,8.823529411764707,1,1,0
creator_alpha,01-02-2023,122890,28,40,12,1,6,0,0,21:00,1,15,15.0,50667,3798,303,0,0,2809,374,46,84,65,0.01721041308938757,0,0.14285714285714285,0.0,0.8571428571428571,0.4897959183673469,0,2,1,2,93,25.806451612903224,2,1,0
creator_alpha,02-02-2023,122918,28,39,11,2,5,0,0,18:30,1,34,17.0,39752,926,700,0,0,2700,360,123,148,71,0.03526866572751056,0,0.2857142857142857,0.0,0.7142857142857143,0.48979591836734687,0,3,1,3,130,18.0,2,1,0
creator_alpha,03-02-2023,122933,15,27,12,0,2,1,0,21:00,1,0,0.0,73976,2025,0,3538,450,1157,154,0,0,0,0.00816481020871634,0,0.0,0.3333333333333333,0.6666666666666666,0.5306122448979591,0,0,0,6,136,11.911764705882353,2,1,0
creator_alpha,04-02-2023,122949,16,30,14,1,2,1,0,12:30,0,18,18.0,59661,4158,316,2979,379,975,130,77,106,25,0.01731449355525385,0,0.25,0.25,0.5,0.4897959183673469,0,0,0,1,181,9.94475138121547,2,1,0
creator_alpha,05-02-2023,122952,3,23,20,0,1,1,0,08:00,1,0,0.0,85511,2423,0,3492,444,571,76,0,0,0,0.00608108898270398,0,0.0,0.5,0.5,0.5306122448979592,0,2,2,4,128,10.78125,2,1,0
creator_alpha,06-02-2023,122966,14,36,22,0,5,1,0,12:30,0,0,0.0,107565,4299,0,3534,449,2892,385,0,0,0,0.007753451401478176,0,0.0,0.16666666666666666,0.8333333333333334,0.5306122448979591,0,1,1,4,160,13.5,2,1,0
creator_alpha,07-02-2023,122963,-3,21,24,1,3,0,0,18:30,1,9,9.0,60596,4234,390,0,0,1806,240,38,47,31,0.012311043633243118,0,0.25,0.0,0.75,0.4897959183673469,0,2,0,3,69,18.260869565217394,2,1,0
creator_alpha,08-02-2023,122978,15,31,16,1,2,1,0,12:30,0,4,4.0,73920,2818,337,3181,404,1041,138,126,94,29,0.01525974025974026,0,0.25,0.25,0.5,0.4897959183673469,0,2,1,3,181,10.276243093922652,2,1,0
creator_alpha,09-02-2023,122994,16,32,16,1,5,0,0,18:30,1,12,12.0,90493,5963,379,0,0,2925,390,115,92,66,0.011514702794691302,0,0.16666666666666666,0.0,0.8333333333333334,0.24489795918367346,0,2,1,7,85,22.588235294117645,2,1,0
creator_alpha,10-02-2023,123039,45,102,57,0,1,2,1,21:00,1,0,0.0,106723,5091,0,5712,727,467,62,0,0,0,0.007392970587408525,402,0.0,0.6666666666666666,0.3333333333333333,0.24489795918367346,0,1,1,2,248,24.677419354838708,2,1,0
creator_alpha,11-02-2023,123043,4,15,11,0,5,0,0,18:30,1,0,0.0,62171,3092,0,0,0,2446,326,0,0,0,0.005243602322626305,0,0.0,0.0,1.0,0.24489795918367344,0,2,1,3,40,22.5,2,1,0
creator_alpha,12-02-2023,123113,70,104,34,1,6,0,1,08:00,1,11,11.0,105218,6994,393,0,0,3639,485,96,74,57,0.010502005360299568,128,0.14285714285714285,0.0,0.8571428571428571,0.24489795918367346,0,0,0,6,93,67.09677419354838,2,1,0
creator_alpha,13-02-2023,123113,0,19,19,2,0,0,0,18:30,1,42,21.0,36441,1263,677,0,0,0,0,220,211,85,0.03273785022364919,0,1.0,0.0,0.0,0.4081632653061224,0,2,0,1,90,12.666666666666666,2,1,0
creator_alpha,14-02-2023,123108,-5,9,14,0,3,0,0,21:00,1,0,0.0,104807,2695,0,0,0,1436,191,0,0,0,0.0018223973589550316,0,0.0,0.0,1.0,0.4897959183673469,0,3,1,0,24,22.5,2,1,0
creator_alpha,15-02-2023,123138,30,48,18,0,4,2,0,08:00,1,0,0.0,71064,4640,0,5914,752,1935,258,0,0,0,0.01421254080828549,0,0.0,0.3333333333333333,0.6666666666666666,0.5306122448979592,0,0,1,1,272,10.588235294117647,2,1,0
creator_alpha,16-02-2023,123172,34,61,27,1,2,2,0,18:30,1,6,6.0,60041,2665,358,6767,861,1107,147,124,73,59,0.027014873170000498,0,0.2,0.4,0.4,0.5306122448979592,0,2,0,4,301,12.159468438538205,2,1,0
creator_alpha,17-02-2023,123224,52,68,16,1,3,2,0,18:30,1,14,14.0,81084,2231,309,5836,742,1432,191,155,32,62,0.018388338019831287,0,0.16666666666666666,0.3333333333333333,0.5,0.48979591836734687,0,0,0,3,309,13.20388349514563,2,1,0
creator_alpha,18-02-2023,123244,20,35,15,1,5,0,0,08:00,1,17,17.0,59574,4414,353,0,0,2728,363,146,37,43,0.01581226709638433,0,0.16666666666666666,0.0,0.8333333333333334,0.40816326530612235,0,1,1,6,85,24.705882352941174,2,1,0
creator_alpha,19-02-2023,128547,5303,5321,18,2,1,2,0,21:00,1,18,9.0,87033,5910,706,6661,847,545,72,108,173,126,0.023347465903737662,0,0.4,0.4,0.2,0.5714285714285714,0,0,0,3,338,944.5562130177514,2,1,1
creator_alpha,20-02-2023,128621,74,89,15,2,3,2,0,21:00,1,32,16.0,47410,2868,818,7717,982,1894,252,135,228,161,0.05433452858046826,0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,0,2,2,1,354,15.084745762711863,2,1,0
creator_alpha,21-02-2023,128738,117,157,40,1,3,1,1,18:30,1,10,10.0,97689,7635,391,3690,469,1811,241,42,33,73,0.012785472264021538,180,0.2,0.2,0.6,0.4081632653061224,0,2,2,4,189,49.84126984126984,2,1,0
creator_alpha,22-02-2023,128740,2,16,14,1,2,0,0,21:00,1,15,15.0,62945,2481,362,0,0,1118,149,168,38,54,0.01224878862499007,0,0.3333333333333333,0.0,0.6666666666666666,0.20408163265306126,0,1,1,2,61,15.737704918032788,2,1,0
